a. a. milne,3.2
abby jimenez,2.82
abraham lincoln,3.81
abu-lughod,1.18
abveh kahbar,0.0001
adolf hitler,3.31
agatha christie,3.05
albert camus,2.86
alexander hamilton,4.05
alice oseman,0.0001
amy sedaris,2.18
andrew wakefield,3.3
anne bonte,1.36
anne frank,4.18
arthur conan doyle,3.21
asako serizawa,1.42
barack obama,3.91
barbara kingsolver,1.73
bell hooks,3.6
benjamin franklin,3.88
brandon sanderson,3.2
bret easton ellis,2.94
bronte,2.79
bronte sisters,2.78
brontë,2.4
brontë sisters,2.4
c s lewis,4.41
c. s. lewis,4.41
c.s. lewis,2.88
campbell,4.23
carlos ruiz zafón,0.0001
charles dickens,3.5
charlotte bonte,1.36
charlotte bronte,2.77
charlotte brontë,2.39
colleen hoover,3.11
cs lewis,3.8
dan brown,4.39
daniel nayeri,0.0001
dave pilkey,1.6
david levithan,1.58
david sedaris,2.19
dennis cooper,3.87
dickens,3.52
donald trump,4.33
donna tartt,1.91
dostoyevsky,2.46
dr. seuss,2.83
edgar allan poe,3.22
elena armas,2.19
emile zola,2.72
emily bonte,1.36
emily bronte,2.77
emily brontë,2.39
emily dickinson,3.34
emily henry,4.04
eoin colfer,2.02
erin hunter,3.6
ernest hemingway,3.16
evelyn waugh,2.85
f scott fitzgerald,3.59
f. scott fitzgerald,3.59
frank herbert,3.8
franz kafka,2.86
freida mcmannon,0.0001
freud,3.47
fyodor dostoevsky,2.23
gabrielle zevin,1.03
gary shteyngart,1.19
george orwell,3.14
george r r martin,4.44
george r. r. martin,4.44
george r.r. martin,2.71
gillian mcallister,2.83
hala alyan,0.0001
hanya yanagihara,1.24
harriet beecher stowe,2.56
haruki murakami,2.23
henry wadsworth longfellow,2.5
holly jackson,3.8
isaac asimov,2.6
j d salinger,2.68
j. k. rowling,3.23
j. r. r. tolkien,3.17
j.d. salinger,2.6
j.k. rowling,2.82
j.r.r. tolkien,2.32
james baldwin,3.77
james joyce,3.84
james patterson,3.67
jane austen,3.27
jane eyre,3.11
jazz jennings,3.54
jk rowling,3.05
john green,4.94
john lewis,4.43
john steinbeck,2.67
john williams,4.59
jon meacham,2.33
joseph stalin,3.63
judith lorber,1.79
julian barnes,3.66
jung,3.78
kafka,2.97
karen m. mcmanus,2.96
karl marx,3.51
kate elizabeth russell,3.9
kate o'hearn,2.84
kazuo ishiguro,1.93
kevin wilson,4.24
khaled hosseini,2.09
khalid rashidi,1.72
kiera cass,2.39
kristy dallas alley,2.7
kurt vonnegut,2.57
langston hughes,2.92
leigh bardugo,1.39
lemony snicket,1.92
leo tolstoy,2.97
lisa kleypas,1.13
lord byron,3.66
louisa may alcott,2.51
louise erdrich,1.64
maaj,0.0001
madeleine l'engle,2.51
mala,2.87
malala yousafzai,2.15
mao zedong,2.59
marcus aurelius,2.77
margaret atwood,3.01
marissa meyer,3.02
mark twain,3.38
martha stewart,3.79
martha waters,3.85
martin,4.74
mary shelley,3.52
mary shelly,3.29
matt craig,4.03
max weber,3.56
maya angelou,2.87
michael crichton,2.93
michelle obama,4.08
michelle zauner,0.0001
miller,4.5
morgan,4.42
mull,2.94
murakami,2.74
nabokov,2.59
naomi novik,1.56
nathaniel hawthorne,3.03
neal shusterman,1.5
nicholas sparks,3.57
noam chomsky,2.61
nora roberts,3.43
ocean vuong,1.83
octavia butler,2.99
oscar wilde,3.38
ottessa moshfegh,0.0001
patrick radden keefe,0.0001
patti smith,3.19
patty blount,2.87
paulo coelho,2.59
peter michaelson,2.21
primo levi,2.88
r. j. shine,4.09
rachel reid,3.76
rainbow rowell,2.46
ralph ellison,3.32
ralph waldo emerson,3.08
ray bradbury,2.96
rebecca stead,3.12
richard alley,3.82
richard wright,4.1
rick riordan,2.65
roald dahl,2.62
robin wall kimmerer,0.0001
roxane gay,2.28
rudyard kipling,2.41
rushworth kidder,1.97
ruth olujobi,0.0001
s. e. hinton,2.84
s. k. ali,4.2
samuel johnson,4.08
sankofa,1.57
sarah j. maas,2.6
sarah lawrence,4.09
savannah brown,3.6
sayaka murata,2.11
senlinyu,0.0001
shakespeare,4.0
shannon chakraborty,2.4
shel silverstein,2.28
sinclair lewis,3.55
stephanie meyer,3.45
stephen king,4.42
stephenie meyer,2.14
stuart gibbs,3.53
stuart turton,2.33
susan collins,3.89
suzanne collins,3.44
sylvia plath,2.49
tan twan eng,1.6
tayari jones,1.14
thomas aquinas,3.01
thomas jefferson,3.94
thoreau,2.93
tim o'brien,3.76
timothy gallwey,1.27
timothy zahn,2.32
tj klune,0.0001
tolkien,3.18
toni morrison,3.39
upton sinclair,3.18
uzma jalaluddin,1.42
v.e. schwab,1.65
victor hugo,3.62
virginia woolf,3.14
vladimir lenin,3.32
wilkie collins,2.78
william faulkner,3.3
william shakespeare,3.95
william wordsworth,2.87
zora neale hurston,2.06
