accounting,4.29
africana studies,2.23
agriculture,4.37
american studies,4.86
anthropology,3.65
arabic,4.03
archaeology,3.57
archeology,2.77
architecture,4.42
arctic studies,3.98
art,5.29
art history,5.04
asian studies,4.51
astronomy,3.63
bio,4.07
bio engineering,4.0
biochem,2.41
biochemistry,3.36
bioengineering,2.55
bioinformatics,2.82
biology,4.22
biophysics,2.58
business,5.56
chem,3.46
chemistry,4.35
chinese,5.01
cinema studies,4.11
civil engineering,4.56
classics,3.9
communication,4.68
communications,4.59
comp sci,3.59
computer science,4.74
cooking,4.45
creative writing,4.47
criminal justice,4.55
dance,4.93
data and computer science,4.64
data science,4.92
dcs,2.93
digital computational studies,3.58
early childhood ed,4.29
earth and ocean studies,4.41
earth and oceanographic studies,2.82
earth science,4.79
east asian studies,4.42
ecology,3.74
econ,3.11
economics,4.42
education,5.28
electrical and computer engineering,4.19
electrical engineering,4.27
elementary ed,4.2
engineering,4.8
english,5.19
environmental science,4.56
environmental studies,4.52
eos,3.23
european history,4.91
evolutionary and ecological biology,3.42
fashion design,4.66
film,5.2
film production,4.87
film studies,4.78
finance,4.65
fine arts,4.59
forestry,3.69
francophone,2.75
francophone studies,2.75
french,5.09
gender and sexuality studies,3.84
gender and women's studies,4.25
gender studies,4.44
geography,3.98
geology,3.76
geophysics,2.72
german,4.95
gov,4.01
government,5.57
government and law,5.21
government and legal studies,4.67
graphic design,4.18
greek,4.5
gsws,1.12
hater,3.14
hispanic,3.97
hispanic studies,3.93
history,5.39
hotel management,4.73
human and organizational development,3.8
human rights,4.96
industrial design,4.58
international affairs,4.59
international relations,4.59
italian,4.66
italian studies,4.49
japanese,4.81
journalism,4.12
kinesiology,2.37
laclas,0.0001
language,5.1
latin,4.48
latin american studies,4.33
latinx studies,2.31
law,5.46
legal studies,4.73
linguistics,3.43
literature,4.62
marketing,4.78
math,4.45
mathematics,4.15
mechanical engineering,4.2
media studies,4.81
medieval studies,4.0
meena,2.64
middle east & north african,4.48
middle eastern / north african,4.37
music,5.52
music technology,4.95
musical studies,4.38
neurochemistry,1.97
neuroscience,3.45
nursing,4.32
oceanography,2.87
performing arts,4.32
philosophy,4.49
physics,4.39
political science,4.9
pre-law,4.83
pre-med,3.84
premed,2.15
psychology,4.31
public health,5.2
reees,0.0001
religion,4.74
religious studies,4.61
romance languages,4.06
russian,5.01
screen writing,4.65
secondary ed,4.34
sociology,3.78
spanish,4.73
special ed,4.68
sports management,4.72
statistics,4.6
theater,4.35
theater and dance,4.25
theatre,4.52
theology,3.92
urban studies,4.48
visual arts,4.29
visual studies,4.38
women's studies,4.52
zoology,3.19
