"vocab"
"alysa liu"
"isabelle levito"
"amber glenn"
"tom brady"
"mikaela shiffrin"
"eileen gu"
"swimmer"
"baseball player"
"football player"
"michael phelps"
"tennis player"
"venus williams"
"serena williams"
"travis kelce"
"soccer players"
"gymnasts"
"simone biles"
"ian crocker"
"grok"
"chloe kim"
"stephen curry"
"jimmy butler"
"jayson tatum"
"leo messi"
"cristiano ronaldo"
"katie ledecky"
"gretchen walsh"
"alex walsh"
"kate douglas"
"claire curzan"
"yousef ramadan"
"leon marchand"
"naomi osaka"
"andre agassi"
"russell wilson"
"babe ruth"
"michael jordan"
"wayne gretzky"
"aaron rodgers"
"lebron james"
"lionel messi"
"shaquille o'neal"
"kobe bryant"
"david ortiz"
"tiger woods"
"drew brees"
"jj watt"
"bill haas"
"jordan spieth"
"carlos alcaraz"
"yuzuru hanyu"
"nadia comaneci"
"ben roethlisberger"
"peyton manning"
"eli manning"
"phil mickelson"
"fred couples"
"deshaun watson"
"aaron jones"
"lebron"
"kyrie"
"luka doncic"
"kd"
"lil'jordan humphrey"
"brenden schooler"
"vince young"
"bob knight"
"quinn ewers"
"adonai mitchell"
"connor robertson"
"bijan robinson"
"steph curry"
"kevin durant"
"amen thompson"
"jamal murray"
"michael porter jr."
"devin booker"
"anthony edwards"
"shai gilgeous-alexander"
"jalen johnson"
"trae young"
"anthony davis"
"cooper flagg"
"caitlin clark"
"josh allen"
"stefon diggs"
"joe mauer"
"shawn johnson"
"charles leclerc"
"paige bueckers"
"bryce harper"
"jalen hurts"
"scott kingery"
"justin turner"
"shohei ohtani"
"aaron nola"
"ranger suárez"
"mike trout"
"tim salmon"
"angel reese"
"joel embiid"
"max verstappen"
"yuki tsunoda"
"pierre gasly"
"esteban ocon"
"carlos sainz jr."
"alex albon"
"pérez"
"valtteri bottas"
"ilian m."
"jack hughes"
"kylian mbappé"
"neymar"
"mitch marner"
"lamelo ball"
"fernando alonso"
"caleb malone"
"coco gauff"
"rory mcilroy"
"alex ovechkin"
"evander kane"
"novak djokovic"
"aly raisman"
"jordan chiles"
"olivia dunne"
"drake maye"
"henderson"
"jackson"
"giannis antetokounmpo"
"usain bolt"
"diego maradona"
"pelé"
"gabby thomas"
"billie jean king"
"guillermo ochoa"
"fitzgerald"
"rob gronkowski"
"bilen"
"ilia malinin"
"marshawn lynch"
"baker mayfield"
"lamar jackson"
"terry bradshaw"
"nick chubb"
"dick butkus"
"john madden"
"lionel messi, cristiano ronaldo, neymar, kylian mbappé, erling haaland, luka modrić, zinedine zidane, david beckham, ronaldinho, pelé, diego maradona"
"lochne"
"lindsey vonn"
"gus schumacher"
"johannes høsflot klæbo"
"jessica diggins"
"julia kearns"
"larry bird"
"jackie robinson"
"dwyane wade"
"kyrie irving"
"lin lie"
"elena delle donne"
"azzi fudd"
"jennie finch"
"roger federer"
"andy murray"
"rafael nadal"
"lia thomas"
"elena rybakina"
"victoria azarenka"
"bronny james"
"mpj (michael porter jr.)"
"jordan poole"
"dwight howard"
"jayden quaintance"
"kevin love"
"darius garland"
"james harden"
"bryson dechambeau"
"victor wembanyama"
"kareem abdul-jabbar"
"shaquille o'neal (shaq)"
"grant fisher"
"gabby douglas"
"mckayla skinner"
"jaxon smith-njigba"
"richard sherman"
"doug baldwin"
"derek jeter"
"michael schumacher"
"lewis hamilton"
"lando norris"
"george russell"
"kimi antonelli"
"ollie bearman"
"nico hulkenberg"
"joe burrow"
"a.j. brown"
"saquon barkley"
"aaron judge"
"colin kaepernick"
"troy aikman"
"lavar ball (zo ball unclear)"
"alex morgan"
"tobin heath"
"christen press"
"kelley o'hara"
"ali krieger"
"shannon boxx"
"crystal dunn"
"julie ertz"
"zach ertz"
"cam ward"
"alyssa thompson"
"giselle thompson"
"naomi girma"
"leah williamson"
"tamamo cross"
"super creek"
"oguri cap"
"jeremy lin"
"djokovic"
"alcaraz"
"jannik sinner"
"tony hawk"
"chloe zhao"
"james rodriguez"
"js"
"jak hughes"
"soto"
"judge"
"cha jun-hwan"
"nikita mazepin"
"lance stroll"
"jeremy clarkson"
"mario andretti"
"liu (skating athlete)"
"antoine griezmann"
"n'golo kanté"
"paul pogba"
"hugo lloris"
"ed reed (unclear ""ward""; best-match assumption)"
"dwayne ""the rock"" johnson"
"nathan chen"
"kaitlyn clark"
"alisa liu"
"bukayo saka"
"richarlison"
"marvin harrison"
"reggie wayne"
"edgerrin james"
"mia hamm"
"tara lipinski"
"mary lou retton"
"olga korbut"
"ken griffey jr."
"sue bird"
