SID,response,entry,entry_number,response_times,evaluation,replacement
00K73X1D,fox,fox,1,1882.1,FOUND,fox
00K73X1D,owlk,owl,2,1576.2,FOUND,owl
00K73X1D,elk,elk,3,2273.8,FOUND,elk
00K73X1D,pelican,pelican,4,3743.5,FOUND,pelican
00K73X1D,dog,dog,5,4275.5,FOUND,dog
00K73X1D,cat,cat,6,910.2,FOUND,cat
00K73X1D,fish,fish,7,2285.0,FOUND,fish
00K73X1D,human,human,8,2348.9,FOUND,human
00K73X1D,turtle,turtle,9,3590.8,FOUND,turtle
00K73X1D,tortoise,tortoise,10,3671.7,FOUND,tortoise
00K73X1D,squirrel,squirrel,11,5300.6,FOUND,squirrel
00K73X1D,chimpanzee,chimpanzee,12,6105.7,FOUND,chimpanzee
00K73X1D,koala,koala,13,2077.2,FOUND,koala
00K73X1D,kangaroo,kangaroo,14,2400.8,FOUND,kangaroo
00K73X1D,kiwi bird,kiwi bird,15,5388.1,EXCLUDE,EXCLUDE
00K73X1D,panda,panda,16,3198.2,FOUND,panda
00K73X1D,bear,bear,17,1504.8,FOUND,bear
00K73X1D,raven,raven,18,4080.6,FOUND,raven
00K73X1D,dove,dove,19,2449.2,FOUND,dove
0GMT2ITP,dog,dog,1,1285.7,FOUND,dog
0GMT2ITP,cat,cat,2,845.3,FOUND,cat
0GMT2ITP,tiger,tiger,3,876.4,FOUND,tiger
0GMT2ITP,lion,lion,4,872.8,FOUND,lion
0GMT2ITP,fish,fish,5,1210.8,FOUND,fish
0GMT2ITP,bird,bird,6,2124.6,FOUND,bird
0GMT2ITP,rabbit,rabbit,7,1372.8,FOUND,rabbit
0GMT2ITP,horse,horse,8,786.1,FOUND,horse
0GMT2ITP,cow,cow,9,1003.4,FOUND,cow
0GMT2ITP,sheep,sheep,10,1098.3,FOUND,sheep
0GMT2ITP,chicken,chicken,11,956.7,FOUND,chicken
0GMT2ITP,turkey,turkey,12,922.0,FOUND,turkey
0GMT2ITP,elephant,elephant,13,6784.0,FOUND,elephant
0GMT2ITP,rhino,rhino,14,968.9,FOUND,rhino
0GMT2ITP,giraffe,giraffe,15,1494.9,FOUND,giraffe
0GMT2ITP,monkey,monkey,16,1318.6,FOUND,monkey
0GMT2ITP,chimp,chimp,17,795.6,FOUND,chimp
0GMT2ITP,ape,ape,18,496.9,FOUND,ape
0GMT2ITP,gecko,gecko,19,5746.1,FOUND,gecko
0GMT2ITP,lizard,lizard,20,963.9,FOUND,lizard
0GMT2ITP,frog,frog,21,1131.2,FOUND,frog
0GMT2ITP,toad,toad,22,692.0,FOUND,toad
0GMT2ITP,beaver,beaver,23,4141.0,FOUND,beaver
0GMT2ITP,groundhog,groundhog,24,2118.9,FOUND,groundhog
0GMT2ITP,snowshoe hare,snowshoe hare,25,2567.0,FOUND,snowshoe hare
0GMT2ITP,walrus,walrus,26,1448.8,FOUND,walrus
0GMT2ITP,polar bear,polar bear,27,1549.6,FOUND,polar bear
0GMT2ITP,black bear,black bear,28,1294.4,FOUND,black bear
0GMT2ITP,grizzly bear,grizzly bear,29,3869.0,FOUND,grizzly bear
0GMT2ITP,deer,deer,30,1415.3,FOUND,deer
0GMT2ITP,moose,moose,31,1469.3,FOUND,moose
0GMT2ITP,loon,loon,32,3879.7,FOUND,loon
0GMT2ITP,bald eagle,bald eagle,33,1152.4,FOUND,bald eagle
0L28O7LJ,squirrel,squirrel,1,2567.5,FOUND,squirrel
0L28O7LJ,bear,bear,2,649.7,FOUND,bear
0L28O7LJ,dog,dog,3,790.1,FOUND,dog
0L28O7LJ,cat,cat,4,693.6,FOUND,cat
0L28O7LJ,parrot,parrot,5,3616.4,FOUND,parrot
0L28O7LJ,dolphin,dolphin,6,2032.8,FOUND,dolphin
0L28O7LJ,whale,whale,7,1950.5,FOUND,whale
0L28O7LJ,possum,possum,8,2350.1,FOUND,possum
0L28O7LJ,raccoon,raccoon,9,2307.3,FOUND,raccoon
0L28O7LJ,bunny,bunny,10,2559.2,FOUND,bunny
0L28O7LJ,foc,fox,11,3066.1,FOUND,fox
0L28O7LJ,fox,fox,12,1176.8,FOUND,fox
0L28O7LJ,coyote,coyote,13,2107.1,FOUND,coyote
0L28O7LJ,polar bear,polar bear,14,2049.7,FOUND,polar bear
0L28O7LJ,brown bear,brown bear,15,1883.7,FOUND,brown bear
0L28O7LJ,koala,koala,16,7933.5,FOUND,koala
0L28O7LJ,peacock,peacock,17,1532.5,FOUND,peacock
0L28O7LJ,flamingo,flamingo,18,2313.2,FOUND,flamingo
0L28O7LJ,zebra,zebra,19,3171.1,FOUND,zebra
0L28O7LJ,sting ray,sting ray,20,4616.6,REPLACE,stingray
0L28O7LJ,seahorse,seahorse,21,4717.2,FOUND,seahorse
0L28O7LJ,starfish,starfish,22,1749.8,FOUND,starfish
0L28O7LJ,crocodile,crocodile,23,2399.9,FOUND,crocodile
0L28O7LJ,alligator,alligator,24,1616.7,FOUND,alligator
0MGC7F4K,zebra,zebra,1,1370.6,FOUND,zebra
0MGC7F4K,giraffe,giraffe,2,2349.9,FOUND,giraffe
0MGC7F4K,worm,worm,3,2898.9,FOUND,worm
0MGC7F4K,cow,cow,4,2115.7,FOUND,cow
0MGC7F4K,pig,pig,5,1680.7,FOUND,pig
0MGC7F4K,chicken,chicken,6,4468.4,FOUND,chicken
0MGC7F4K,dog,dog,7,1636.8,FOUND,dog
0MGC7F4K,cat,cat,8,867.1,FOUND,cat
0MGC7F4K,hamster,hamster,9,2583.7,FOUND,hamster
0MGC7F4K,guniea pig,guinea pig,10,3633.9,FOUND,guinea pig
0MGC7F4K,squirrel,squirrel,11,7448.7,FOUND,squirrel
0MGC7F4K,lion,lion,12,2916.9,FOUND,lion
0MGC7F4K,deer,deer,13,3033.6,FOUND,deer
0MGC7F4K,elk,elk,14,1023.1,FOUND,elk
0MGC7F4K,moose,moose,15,925.7,FOUND,moose
0MGC7F4K,bird,bird,16,1575.4,FOUND,bird
0MGC7F4K,eagle,eagle,17,3242.4,FOUND,eagle
0MGC7F4K,vulture,vulture,18,4266.3,FOUND,vulture
0MGC7F4K,polar bear,polar bear,19,3532.6,FOUND,polar bear
0MGC7F4K,penguin,penguin,20,1430.7,FOUND,penguin
0MGC7F4K,fish,fish,21,2543.9,FOUND,fish
0MGC7F4K,shark,shark,22,4074.3,FOUND,shark
0PRAW6DO,Flamingos,flamingos,1,3298.5,REPLACE,flamingo
0PRAW6DO,Lion,lion,2,2415.3,FOUND,lion
0PRAW6DO,Panda,panda,3,2545.5,FOUND,panda
0PRAW6DO,Octopus,octopus,4,5016.8,FOUND,octopus
0PRAW6DO,Bear,bear,5,2700.7,FOUND,bear
0PRAW6DO,Cat,cat,6,2665.7,FOUND,cat
0PRAW6DO,Dog,dog,7,1232.6,FOUND,dog
0PRAW6DO,Pig,pig,8,4286.3,FOUND,pig
0PRAW6DO,Cow,cow,9,1960.3,FOUND,cow
0PRAW6DO,Chicken,chicken,10,2108.1,FOUND,chicken
0PRAW6DO,Turkey,turkey,11,2363.0,FOUND,turkey
0PRAW6DO,Lizard,lizard,12,5297.5,FOUND,lizard
0PRAW6DO,Ant,ant,13,4848.1,FOUND,ant
0PRAW6DO,Snake,snake,14,8942.2,FOUND,snake
0PRAW6DO,Butterfly,butterfly,15,3594.9,FOUND,butterfly
0PRAW6DO,Whale,whale,16,5566.9,FOUND,whale
0QPSDFM3,giraffe,giraffe,1,3041.0,FOUND,giraffe
0QPSDFM3,lion,lion,2,969.4,FOUND,lion
0QPSDFM3,bird,bird,3,1797.3,FOUND,bird
0QPSDFM3,dolphin,dolphin,4,1922.7,FOUND,dolphin
0QPSDFM3,whale,whale,5,960.5,FOUND,whale
0QPSDFM3,orca,orca,6,891.6,FOUND,orca
