Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized
51,forage_static,7.249232869346944,3.3725832996118807,,26.133930738539625
51,forage_dynamic_simdrop,8.050737501541276,3.534375198766959,,26.576504650488435
51,forage_phonologicalstatic,6.900833186638655,4.229012107308804,-0.15809583368795416,25.593127019442896
51,forage_phonologicaldynamicglobal_simdrop,7.811858736573158,4.181520967336906,-0.13006967735343816,26.210770644454524
51,forage_phonologicaldynamiclocal_simdrop,7.9129850850429335,4.040094926273149,-0.10392187320963936,26.372899037185938
51,forage_phonologicaldynamicswitch_simdrop,7.936712020311672,3.5404062489124923,-2.3187080206381414,26.283650482531037
51,forage_random_baseline,0.0,0.0,,38.20542124587457
71,forage_static,4.547771806331726,3.3164530050915797,,57.212338356628756
71,forage_dynamic_simdrop,4.642192921141413,3.765104385671243,,56.98800667774682
71,forage_phonologicalstatic,4.520728203560659,3.399392955831646,-0.02136258829110554,57.18855074017809
71,forage_phonologicaldynamicglobal_simdrop,4.6073979618367265,3.888349635141023,-0.027534310092227312,56.949553920033516
71,forage_phonologicaldynamiclocal_simdrop,4.6092085373177,3.916648392392266,-0.033636298310747985,56.945856336859485
71,forage_phonologicaldynamicswitch_simdrop,4.639254373374469,3.7650928088887454,-0.010540545468254484,56.98650331152233
71,forage_random_baseline,0.0,0.0,,68.76975824257423
