Subject,Fluency_Item,Semantic_Similarity,Frequency_Value,Phonological_Similarity
00K73X1D,james baldwin,0.0001,3.77,0.0001
00K73X1D,patrick radden keefe,0.33122871579462143,0.0001,0.0833
00K73X1D,tayari jones,0.3074958889751731,1.14,0.0001
00K73X1D,roxane gay,0.2813877058696741,2.28,0.0001
00K73X1D,zora neale hurston,0.03693068338964767,2.06,0.1538
00K73X1D,langston hughes,0.45005337683583546,2.92,0.0769
0GMT2ITP,edgar allan poe,0.0001,3.22,0.0001
0GMT2ITP,suzanne collins,0.21988351493702063,3.44,0.1875
0GMT2ITP,f scott fitzgerald,0.3053553361082698,3.59,0.0001
0GMT2ITP,jk rowling,0.2874490746247772,3.05,0.0001
0GMT2ITP,lemony snicket,0.36554992358753413,1.92,0.0001
0L28O7LJ,jane austen,0.0001,3.27,0.0001
0L28O7LJ,charles dickens,0.45298665296720353,3.5,0.0833
0L28O7LJ,victor hugo,0.3346033037261835,3.62,0.1818
0L28O7LJ,charlotte bronte,0.3084531050908046,2.77,0.0001
0L28O7LJ,stephanie meyer,0.44780745240912834,3.45,0.1333
0L28O7LJ,v.e. schwab,0.08144781469234097,1.65,0.1667
0L28O7LJ,dostoyevsky,0.1935254841536258,2.46,0.2308
0L28O7LJ,kafka,0.3696580023189564,2.97,0.1538
0MGC7F4K,jk rowling,0.0001,3.05,0.0001
0MGC7F4K,james patterson,0.3686209189431252,3.67,0.0909
0MGC7F4K,ernest hemingway,0.3381573033586267,3.16,0.1818
0MGC7F4K,edgar allan poe,0.45057542867456624,3.22,0.0001
0MGC7F4K,william shakespeare,0.44147317390398866,3.95,0.1875
0PRAW6DO,c s lewis,0.0001,4.41,0.0001
0PRAW6DO,jane austen,0.24441021517225714,3.27,0.1333
0PRAW6DO,bronte sisters,0.48726197609589317,2.78,0.0001
0PRAW6DO,gabrielle zevin,0.2867111036107304,1.03,0.2
0PRAW6DO,john green,0.32515067447775525,4.94,0.0667
0PRAW6DO,hanya yanagihara,0.16394418039091707,1.24,0.0833
0QPSDFM3,jk rowling,0.0001,3.05,0.0001
0QPSDFM3,rick riordan,0.386979015255448,2.65,0.1
0QPSDFM3,nathaniel hawthorne,0.22380426481544569,3.03,0.0001
0QPSDFM3,j d salinger,0.4111093198644058,2.68,0.1
0QPSDFM3,ernest hemingway,0.474502803017012,3.16,0.0001
0QPSDFM3,emile zola,0.41597119052681997,2.72,0.0001
0QPSDFM3,charlotte bronte,0.3388629967872474,2.77,0.0667
0QPSDFM3,sinclair lewis,0.3245253074040667,3.55,0.1333
18HXK612,erin hunter,0.0001,3.6,0.0001
18HXK612,jk rowling,0.2355026220427492,3.05,0.0001
18HXK612,brandon sanderson,0.3650061961373908,3.2,0.25
18HXK612,george r r martin,0.4444736581211124,4.44,0.0833
18HXK612,rick riordan,0.33525924043346067,2.65,0.1818
18HXK612,naomi novik,0.13222007871505403,1.56,0.0001
18HXK612,emily bronte,0.3878377379018807,2.77,0.0001
18HXK612,william shakespeare,0.43394996685070397,3.95,0.0001
1KEVYYJ9,mary shelley,0.0001,3.52,0.0001
1KEVYYJ9,anne frank,0.2742443013963558,4.18,0.0833
