subject,word,entry_number,x,y,domain,pair,word1,x1,y1,word2,x2,y2,euclidean_distance
21466,dog,1,334,169,animals,"dog, cat",dog,334,169,cat,418,171,84.02380615040002
21466,cat,2,418,171,animals,"cat, wolf",cat,418,171,wolf,272,168,146.03081866510234
21466,wolf,3,272,168,animals,"wolf, hyena",wolf,272,168,hyena,260,114,55.31726674375732
21466,hyena,4,260,114,animals,"hyena, beaver",hyena,260,114,beaver,574,74,316.53751752359466
21466,beaver,5,574,74,animals,"beaver, aardvark",beaver,574,74,aardvark,670,149,121.82364302548172
21466,aardvark,6,670,149,animals,NA,aardvark,670,149,NA,NA,NA,NA
21466,pencil,1,151,169,classroom-items,"pencil, desk",pencil,151,169,desk,208,231,84.21995013059554
21466,desk,2,208,231,classroom-items,"desk, computer",desk,208,231,computer,231,169,66.12866246946176
21466,computer,3,231,169,classroom-items,"computer, whiteboard",computer,231,169,whiteboard,437,190,207.06762180505189
21466,whiteboard,4,437,190,classroom-items,NA,whiteboard,437,190,NA,NA,NA,NA
21466,shirt,1,262,194,clothes,"shirt, pants",shirt,262,194,pants,261,278,84.00595217006948
21466,pants,2,261,278,clothes,"pants, blouse",pants,261,278,blouse,177,191,120.93386622447825
21466,blouse,3,177,191,clothes,"blouse, jacket",blouse,177,191,jacket,327,194,150.02999700059985
21466,jacket,4,327,194,clothes,"jacket, puffer",jacket,327,194,puffer,325,140,54.037024344425184
21466,puffer,5,325,140,clothes,NA,puffer,325,140,NA,NA,NA,NA
21466,apple,1,295,151,foods,"apple, cherry",apple,295,151,cherry,213,152,82.00609733428362
21466,cherry,2,213,152,foods,"cherry, cookie",cherry,213,152,cookie,533,154,320.00624993896605
21466,cookie,3,533,154,foods,"cookie, tofu",cookie,533,154,tofu,416,53,154.5639026422405
21466,tofu,4,416,53,foods,"tofu, lemon",tofu,416,53,lemon,219,215,255.05489605181077
21466,lemon,5,219,215,foods,NA,lemon,219,215,NA,NA,NA,NA
21466,pop,1,337,196,music-genres,"pop, rock",pop,337,196,rock,499,191,162.077142126828
21466,rock,2,499,191,music-genres,"rock, indie",rock,499,191,indie,414,117,112.69871339105873
21466,indie,3,414,117,music-genres,"indie, metal",indie,414,117,metal,521,257,176.207264322445
21466,metal,4,521,257,music-genres,NA,metal,521,257,NA,NA,NA,NA
21466,doctor,1,344,169,occupations,"doctor, physician",doctor,344,169,physician,233,170,111.00450441310929
21466,physician,2,233,170,occupations,NA,physician,233,170,NA,NA,NA,NA
21466,volleyball,1,336,162,sports,"volleyball, soccer",volleyball,336,162,soccer,114,162,222
