Subject,response,corrected_response,entry_number,response_times,domain,
00K73X1D,fox,fox,1,1882.1,animals,
00K73X1D,owlk,owl,2,1576.2,animals,
00K73X1D,elk,elk,3,2273.8,animals,
00K73X1D,pelican,pelican,4,3743.5,animals,
00K73X1D,dog,dog,5,4275.5,animals,
00K73X1D,cat,cat,6,910.2,animals,
00K73X1D,fish,fish,7,2285,animals,
00K73X1D,human,human,8,2348.9,animals,
00K73X1D,turtle,turtle,9,3590.8,animals,
00K73X1D,tortoise,tortoise,10,3671.7,animals,
00K73X1D,squirrel,squirrel,11,5300.6,animals,
00K73X1D,chimpanzee,chimpanzee,12,6105.7,animals,
00K73X1D,koala,koala,13,2077.2,animals,
00K73X1D,kangaroo,kangaroo,14,2400.8,animals,
00K73X1D,kiwi bird,kiwi bird,15,5388.1,animals,
00K73X1D,panda,panda,16,3198.2,animals,
00K73X1D,bear,bear,17,1504.8,animals,
00K73X1D,raven,raven,18,4080.6,animals,
00K73X1D,dove,dove,19,2449.2,animals,
00K73X1D,james baldwin,james baldwin,1,3643.9,authors,
00K73X1D,patrick radden keefe,patrick radden keefe,2,12572.7,authors,
00K73X1D,tayari jones,tayari jones,3,3043.9,authors,
00K73X1D,roxane gay,roxane gay,4,14102.5,authors,
00K73X1D,zora neale hurston,zora neale hurston,5,10475.6,authors,
00K73X1D,langston hughes,langston hughes,6,9678,authors,
00K73X1D,psychology,psychology,1,4933.1,college_majors,
00K73X1D,political science,political science,2,3315.5,college_majors,
00K73X1D,history,history,3,1350.9,college_majors,
00K73X1D,math,math,4,837.3,college_majors,
00K73X1D,chemistry,chemistry,5,3065,college_majors,
00K73X1D,biology,biology,6,2117.3,college_majors,
00K73X1D,physics,physics,7,3671.1,college_majors,
00K73X1D,anthropology,anthropology,8,4645.6,college_majors,
00K73X1D,french,french,9,1550.3,college_majors,
00K73X1D,spanish,spanish,10,9888.8,college_majors,
00K73X1D,computer science,computer science,11,4302.3,college_majors,
00K73X1D,english,english,12,3512.9,college_majors,
00K73X1D,art history,art history,13,4428.4,college_majors,
00K73X1D,neuroscience,neuroscience,14,6683.8,college_majors,
00K73X1D,religion,religion,15,2035,college_majors,
00K73X1D,economics,economics,16,2915,college_majors,
00K73X1D,hozier,hozier,1,2357.2,musicians,
00K73X1D,andrew bird,andrew bird,2,2905.6,musicians,
00K73X1D,sabrina carpenter,sabrina carpenter,3,5900,musicians,
00K73X1D,taylor swift,taylor swift,4,2970,musicians,
00K73X1D,chris martin,chris martin,5,7862.4,musicians,
00K73X1D,tame impala,tame impala,6,3828.1,musicians,
00K73X1D,katy perry,katy perry,7,6645.4,musicians,
00K73X1D,olivia rodrigo,olivia rodrigo,8,14154.3,musicians,
00K73X1D,alysa liu,alysa liu,1,8271.5,sportspersons,
00K73X1D,isabelle levito,isabelle levito,2,32341.6,sportspersons,
00K73X1D,amber glenn,amber glenn,3,3394,sportspersons,
00K73X1D,tom brady,tom brady,4,3364.1,sportspersons,
00K73X1D,mikayla shriffrin,mikaela shiffrin,5,6714.4,sportspersons,
00K73X1D,eileen gu,eileen gu,6,5388.3,sportspersons,
0GMT2ITP,dog,dog,1,1285.7,animals,
0GMT2ITP,cat,cat,2,845.3,animals,
