SID,response,entry,entry_number,response_times
00K73X1D,fox,fox,1,1882.1
00K73X1D,owlk,owl,2,1576.2
00K73X1D,elk,elk,3,2273.8
00K73X1D,pelican,pelican,4,3743.5
00K73X1D,dog,dog,5,4275.5
00K73X1D,cat,cat,6,910.2
00K73X1D,fish,fish,7,2285
00K73X1D,human,human,8,2348.9
00K73X1D,turtle,turtle,9,3590.8
00K73X1D,tortoise,tortoise,10,3671.7
00K73X1D,squirrel,squirrel,11,5300.6
00K73X1D,chimpanzee,chimpanzee,12,6105.7
00K73X1D,koala,koala,13,2077.2
00K73X1D,kangaroo,kangaroo,14,2400.8
00K73X1D,kiwi bird,kiwi bird,15,5388.1
00K73X1D,panda,panda,16,3198.2
00K73X1D,bear,bear,17,1504.8
00K73X1D,raven,raven,18,4080.6
00K73X1D,dove,dove,19,2449.2
0GMT2ITP,dog,dog,1,1285.7
0GMT2ITP,cat,cat,2,845.3
0GMT2ITP,tiger,tiger,3,876.4
0GMT2ITP,lion,lion,4,872.8
0GMT2ITP,fish,fish,5,1210.8
0GMT2ITP,bird,bird,6,2124.6
0GMT2ITP,rabbit,rabbit,7,1372.8
0GMT2ITP,horse,horse,8,786.1
0GMT2ITP,cow,cow,9,1003.4
0GMT2ITP,sheep,sheep,10,1098.3
0GMT2ITP,chicken,chicken,11,956.7
0GMT2ITP,turkey,turkey,12,922
0GMT2ITP,elephant,elephant,13,6784
0GMT2ITP,rhino,rhino,14,968.9
0GMT2ITP,giraffe,giraffe,15,1494.9
0GMT2ITP,monkey,monkey,16,1318.6
0GMT2ITP,chimp,chimp,17,795.6
0GMT2ITP,ape,ape,18,496.9
0GMT2ITP,gecko,gecko,19,5746.1
0GMT2ITP,lizard,lizard,20,963.9
0GMT2ITP,frog,frog,21,1131.2
0GMT2ITP,toad,toad,22,692
0GMT2ITP,beaver,beaver,23,4141
0GMT2ITP,groundhog,groundhog,24,2118.9
0GMT2ITP,snowshoe hare,snowshoe hare,25,2567
0GMT2ITP,walrus,walrus,26,1448.8
0GMT2ITP,polar bear,polar bear,27,1549.6
0GMT2ITP,black bear,black bear,28,1294.4
0GMT2ITP,grizzly bear,grizzly bear,29,3869
0GMT2ITP,deer,deer,30,1415.3
0GMT2ITP,moose,moose,31,1469.3
