subject,response,entry_number,response_times,domain
00K73X1D,fox,1,1882.1,animals
00K73X1D,owlk,2,1576.2,animals
00K73X1D,elk,3,2273.8,animals
00K73X1D,pelican,4,3743.5,animals
00K73X1D,dog,5,4275.5,animals
00K73X1D,cat,6,910.2,animals
00K73X1D,fish,7,2285,animals
00K73X1D,human,8,2348.9,animals
00K73X1D,turtle,9,3590.8,animals
00K73X1D,tortoise,10,3671.7,animals
00K73X1D,squirrel,11,5300.6,animals
00K73X1D,chimpanzee,12,6105.7,animals
00K73X1D,koala,13,2077.2,animals
00K73X1D,kangaroo,14,2400.8,animals
00K73X1D,kiwi bird,15,5388.1,animals
00K73X1D,panda,16,3198.2,animals
00K73X1D,bear,17,1504.8,animals
00K73X1D,raven,18,4080.6,animals
00K73X1D,dove,19,2449.2,animals
00K73X1D,james baldwin,1,3643.9,authors
00K73X1D,patrick radden keefe,2,12572.7,authors
00K73X1D,tayari jones,3,3043.9,authors
00K73X1D,roxane gay,4,14102.5,authors
00K73X1D,zora neale hurston,5,10475.6,authors
00K73X1D,langston hughes,6,9678,authors
00K73X1D,psychology,1,4933.1,college_majors
00K73X1D,political science,2,3315.5,college_majors
00K73X1D,history,3,1350.9,college_majors
00K73X1D,math,4,837.3,college_majors
00K73X1D,chemistry,5,3065,college_majors
00K73X1D,biology,6,2117.3,college_majors
00K73X1D,physics,7,3671.1,college_majors
00K73X1D,anthropology,8,4645.6,college_majors
00K73X1D,french,9,1550.3,college_majors
00K73X1D,spanish,10,9888.8,college_majors
00K73X1D,computer science,11,4302.3,college_majors
00K73X1D,english,12,3512.9,college_majors
00K73X1D,art history,13,4428.4,college_majors
00K73X1D,neuroscience,14,6683.8,college_majors
00K73X1D,religion,15,2035,college_majors
00K73X1D,economics,16,2915,college_majors
00K73X1D,hozier,1,2357.2,musicians
00K73X1D,andrew bird,2,2905.6,musicians
00K73X1D,sabrina carpenter,3,5900,musicians
00K73X1D,taylor swift,4,2970,musicians
00K73X1D,chris martin,5,7862.4,musicians
00K73X1D,tame impala,6,3828.1,musicians
00K73X1D,katy perry,7,6645.4,musicians
00K73X1D,olivia rodrigo,8,14154.3,musicians
00K73X1D,alysa liu,1,8271.5,sportspersons
00K73X1D,isabelle levito,2,32341.6,sportspersons
00K73X1D,amber glenn,3,3394,sportspersons
00K73X1D,tom brady,4,3364.1,sportspersons
00K73X1D,mikayla shriffrin,5,6714.4,sportspersons
00K73X1D,eileen gu,6,5388.3,sportspersons
0GMT2ITP,dog,1,1285.7,animals
0GMT2ITP,cat,2,845.3,animals
0GMT2ITP,tiger,3,876.4,animals
0GMT2ITP,lion,4,872.8,animals
0GMT2ITP,fish,5,1210.8,animals
0GMT2ITP,bird,6,2124.6,animals
0GMT2ITP,rabbit,7,1372.8,animals
0GMT2ITP,horse,8,786.1,animals
0GMT2ITP,cow,9,1003.4,animals
0GMT2ITP,sheep,10,1098.3,animals
0GMT2ITP,chicken,11,956.7,animals
0GMT2ITP,turkey,12,922,animals
0GMT2ITP,elephant,13,6784,animals
0GMT2ITP,rhino,14,968.9,animals
0GMT2ITP,giraffe,15,1494.9,animals
0GMT2ITP,monkey,16,1318.6,animals
0GMT2ITP,chimp,17,795.6,animals
0GMT2ITP,ape,18,496.9,animals
0GMT2ITP,gecko,19,5746.1,animals
0GMT2ITP,lizard,20,963.9,animals
0GMT2ITP,frog,21,1131.2,animals
0GMT2ITP,toad,22,692,animals
0GMT2ITP,beaver,23,4141,animals
0GMT2ITP,groundhog,24,2118.9,animals
0GMT2ITP,snowshoe hare,25,2567,animals
0GMT2ITP,walrus,26,1448.8,animals
0GMT2ITP,polar bear,27,1549.6,animals
0GMT2ITP,black bear,28,1294.4,animals
0GMT2ITP,grizzly bear,29,3869,animals
0GMT2ITP,deer,30,1415.3,animals
0GMT2ITP,moose,31,1469.3,animals
0GMT2ITP,loon,32,3879.7,animals
0GMT2ITP,bald eagle,33,1152.4,animals
0GMT2ITP,edgar allen poe,1,2788.8,authors
0GMT2ITP,susan collins,2,6423.4,authors
0GMT2ITP,f scott fitzgerald,3,12411.3,authors
0GMT2ITP,jk rowliing,4,27255.9,authors
0GMT2ITP,lemony snicket,5,7074.8,authors
0GMT2ITP,biology,1,1586.8,college_majors
0GMT2ITP,pschology,2,2179,college_majors
0GMT2ITP,english,3,2366.8,college_majors
0GMT2ITP,environmental studies,4,2064,college_majors
0GMT2ITP,political science,5,3008.8,college_majors
0GMT2ITP,chemistry,6,4823.3,college_majors
0GMT2ITP,anthropology,7,2201.1,college_majors
0GMT2ITP,fashion design,8,2733,college_majors
0GMT2ITP,literature,9,5740.8,college_majors
0GMT2ITP,journalism,10,1428.8,college_majors
0GMT2ITP,religious studies,11,5418.3,college_majors
0GMT2ITP,gender studies,12,3416.8,college_majors
0GMT2ITP,environmental science,13,6937.4,college_majors
0GMT2ITP,geology,14,2605.6,college_majors
0GMT2ITP,math,15,3114.7,college_majors
0GMT2ITP,physics,16,4217.7,college_majors
0GMT2ITP,taylor swift,1,2477.7,musicians
0GMT2ITP,rihanna,2,1668.8,musicians
0GMT2ITP,conan gray,3,2325,musicians
0GMT2ITP,harry styles,4,1709.9,musicians
0GMT2ITP,selena gomez,5,2292.1,musicians
0GMT2ITP,gracie abrams,6,4522.5,musicians
0GMT2ITP,sabrina carpenter,7,2843.4,musicians
0GMT2ITP,olivia rodrigo,8,2268.8,musicians
0GMT2ITP,sara mclaughlin,9,15566.3,musicians
0GMT2ITP,lorde,10,13536.5,musicians
0GMT2ITP,esha tewari,11,3987.4,musicians
0GMT2ITP,gayle,12,4374,musicians
0GMT2ITP,swimmer,1,1727.7,sportspersons
0GMT2ITP,baseball player,2,1917.8,sportspersons
0GMT2ITP,football player,3,2815.8,sportspersons
0GMT2ITP,michael phelps,4,2629,sportspersons
0GMT2ITP,tennis player,5,2220.9,sportspersons
0GMT2ITP,venus william,6,2884.1,sportspersons
0GMT2ITP,serena williams,7,2944.8,sportspersons
0GMT2ITP,travis kelce,8,6150.1,sportspersons
0GMT2ITP,soccer players,9,4263.5,sportspersons
0GMT2ITP,gymnasts,10,5274.3,sportspersons
0GMT2ITP,simone biles,11,1924.7,sportspersons
0GMT2ITP,ian crocker,12,7441.5,sportspersons
0GMT2ITP,tom brady,13,12435.2,sportspersons
0GMT2ITP,grock,14,3594.4,sportspersons
0L28O7LJ,squirrel,1,2567.5,animals
0L28O7LJ,bear,2,649.7,animals
0L28O7LJ,dog,3,790.1,animals
0L28O7LJ,cat,4,693.6,animals
0L28O7LJ,parrot,5,3616.4,animals
0L28O7LJ,dolphin,6,2032.8,animals
0L28O7LJ,whale,7,1950.5,animals
0L28O7LJ,possum,8,2350.1,animals
0L28O7LJ,raccoon,9,2307.3,animals
0L28O7LJ,bunny,10,2559.2,animals
0L28O7LJ,foc,11,3066.1,animals
0L28O7LJ,fox,12,1176.8,animals
0L28O7LJ,coyote,13,2107.1,animals
0L28O7LJ,polar bear,14,2049.7,animals
0L28O7LJ,brown bear,15,1883.7,animals
0L28O7LJ,koala,16,7933.5,animals
0L28O7LJ,peacock,17,1532.5,animals
0L28O7LJ,flamingo,18,2313.2,animals
0L28O7LJ,zebra,19,3171.1,animals
0L28O7LJ,sting ray,20,4616.6,animals
0L28O7LJ,seahorse,21,4717.2,animals
0L28O7LJ,starfish,22,1749.8,animals
0L28O7LJ,crocodile,23,2399.9,animals
0L28O7LJ,alligator,24,1616.7,animals
0L28O7LJ,jane austen,1,3966.3,authors
0L28O7LJ,charles dickinson,2,4542.2,authors
0L28O7LJ,victor hugo,3,4690.7,authors
0L28O7LJ,charlotte bronte,4,5706.9,authors
0L28O7LJ,stephanie meyer,5,6560.4,authors
0L28O7LJ,ve schwab,6,5116.8,authors
0L28O7LJ,dostoyevsky,7,12599.7,authors
0L28O7LJ,kafka,8,13427.2,authors
0L28O7LJ,communications,1,2820.1,college_majors
0L28O7LJ,psychology,2,1537.1,college_majors
0L28O7LJ,biology,3,2087.5,college_majors
0L28O7LJ,chemistry,4,2333.4,college_majors
0L28O7LJ,economics,5,983.2,college_majors
0L28O7LJ,sociology,6,3216.8,college_majors
0L28O7LJ,religion,7,1850.4,college_majors
0L28O7LJ,physics,8,2316.4,college_majors
0L28O7LJ,math,9,583.6,college_majors
0L28O7LJ,computer science,10,2883.5,college_majors
0L28O7LJ,gender studies,11,8170.7,college_majors
0L28O7LJ,asian studies,12,2812.3,college_majors
0L28O7LJ,biochemistry,13,8817.2,college_majors
0L28O7LJ,romance languages,14,5882.8,college_majors
0L28O7LJ,film,15,2900.3,college_majors
